BsDz6DjHk9u,https://www.instagram.com/p/BsDz6DjHk9u/,"12/31/2018 12:08:53pm",image,1750,9,"",1,"One year ago today I stopped by Tullahoma Airport to retrieve data plate information off the right engine. Today we are on schedule and under budget. We should have the plane flying in this new year.
https://www.mrdouglas.org/
.
.
#fly #flying #savethedate #save_a_dc3 #photography #photooftheday #dc3 #pilotslife #pilot #avnerd #avgeek #airplane #aircraft #boeingcompany #boeing #fun #radialengine #aircraftrestoration #donate #donor 
#philanthropy",027_12-31-2018
Bs6rGkCHEfA,https://www.instagram.com/p/Bs6rGkCHEfA/,"01/21/2019 7:31:46pm",video,146,26,"",1,"I'm posting this video in memory of the two lives lost Brian L. Stoltzfus and Curtis R. Wilkerson today January 21, 2019 at Preferred Airparts, LLC. In Kidron, Ohio.
I made this video in late November. Now I'm posting it with a heavy heart and with tears in my eyes.",029_01-21-2019
BtCBE0UnIU2,https://www.instagram.com/p/BtCBE0UnIU2/,"01/24/2019 3:59:30pm",video,117,0,"De Land, Florida",1,"Now that the stitching and taping are  complete on the fabric covered rudder let's get it ready for paint. The answer to how many stitches 320. All that made a guess on our previous post will receive a free ride or jump when we begin operations, Congratulations!!! Thank you for your participation!😊",031_01-24-2019
BtWhD8PH96U,https://www.instagram.com/p/BtWhD8PH96U/,"02/01/2019 3:01:10pm",image,181,9,"",1,"Today we finished making up all new hoses for this awesome Pratt & Whitney 1830-75 engine. .
.
.
.
#radialengine #photooftheday #fly #flying #fun #roundmotors #pilot #pilotslife #photography #prattwhitney #pilotlifestyle #aircraftrestoration #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3training #dc3 #donalddouglas #aircraftspruce",033_02-01-2019
Bti6k24H-Vq,https://www.instagram.com/p/Bti6k24H-Vq/,"02/06/2019 10:47:43am",video,122,5,"DeLand, Florida",1,"final two coats of pre primer fabric sealer. The paint, primer and sealer are all water based. Much better for the environment and our brain cells! Were using the Stewart  Systems products.
.
.
.
.
.
.
@save_a_dc3 #stewartsystems #painting #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #philanthropy",035_02-06-2019
BttcpaXHZvF,https://www.instagram.com/p/BttcpaXHZvF/,"02/10/2019 12:45:08pm",image,422,5,"",1,"The rudder getting it's Final high gloss coating under nervous supervision! Turned out Beautiful!!
www.mrdouglas.org
.
.
.
.
.
.
.
.
@save_a_dc3 #stewartsystems #painting #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #philanthropy#radialengine #photooftheday #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3",037_02-10-2019
BuAtIo8HhxU,https://www.instagram.com/p/BuAtIo8HhxU/,"02/18/2019 1:22:12am",video,132,2,"DeLand, Florida",1,"Today we are sending out the generators for overall, it's time to start doing all the accessories.
.
.
.
.
@save_a_dc3 #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #radialengine #photooftheday #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3",039_02-18-2019
BuHjfbcHNKy,https://www.instagram.com/p/BuHjfbcHNKy/,"02/20/2019 4:05:11pm",image,127,2,"",1,"Now that the rudder is complete let's get it out of the way until spring.
.
.
.
.
.
@save_a_dc3 #themrdouglassociety #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #philanthropy#radialengine #photooftheday #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3 #donalddouglas",041_02-20-2019
BuPPiI7Hlyt,https://www.instagram.com/p/BuPPiI7Hlyt/,"02/23/2019 3:44:43pm",image,114,1,"",1,"Time to put two engine mounts together. Hard to believe that these tubular mounts can hold the weight of a Pratt & Whitney 1830 - 75, with accessories 1,600 pounds.
.
.
.
.
.
#save_a_dc3
#radialengine #photooftheday #fly #flying #fun #roundmotors #pilot #pilotslife #photography #prattwhitney #pilotlifestyle #aircraftrestoration #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3training #dc3 #donalddouglas #aircraftspruce",043_02-23-2019
BuTAXsln6zF,https://www.instagram.com/p/BuTAXsln6zF/,"02/25/2019 3:32:44am",video,152,4,"",1,"Prepping the engine mounts for paint.
.
.
.
.
.
.
.
@save_a_dc3 #themrdouglassociety #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #philanthropy#radialengine #photooftheday #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3 #donalddouglas",045_02-25-2019
